dr_no,date_occ,neighborhood,new_category,crime_type_id,neighborhood_id
190105049,2018-07-18,downtown,theft,0,3
180616550,2018-07-18,hollywood-hills,theft,0,12
181416427,2018-07-18,westchester,theft,0,8
180914571,2018-07-18,van-nuys,theft,0,0
180814150,2018-07-18,brentwood,theft,0,69
181416451,2018-07-18,westchester,theft,0,8
180327702,2018-07-18,baldwin-hillscrenshaw,theft,0,56
180317039,2018-07-18,baldwin-hillscrenshaw,theft,0,56
191507282,2018-07-18,sun-valley,theft,0,6
181514715,2018-07-18,sun-valley,theft,0,6
180412657,2018-07-18,boyle-heights,theft,0,39
180216202,2018-07-18,westlake,theft,0,10
181914676,2018-07-18,north-hills,theft,0,46
180914619,2018-07-18,sherman-oaks,theft,0,33
181219422,2018-07-18,harvard-park,theft,0,73
181514740,2018-07-18,sun-valley,theft,0,6
181013197,2018-07-18,encino,theft,0,1
181315756,2018-07-18,downtown,theft,0,3
180713697,2018-07-18,beverly-grove,theft,0,29
180914595,2018-07-18,van-nuys,theft,0,0
180215388,2018-07-18,westlake,theft,0,10
181218610,2018-07-18,florence,theft,0,49
180120119,2018-07-18,downtown,theft,0,3
181713738,2018-07-18,northridge,theft,0,11
181113703,2018-07-18,los-feliz,theft,0,28
181416470,2018-07-18,del-rey,theft,0,76
181317889,2018-07-18,central-alameda,theft,0,91
180317252,2018-07-18,exposition-park,theft,0,48
180914602,2018-07-18,van-nuys,theft,0,0
181611892,2018-07-18,sun-valley,theft,0,6
181416430,2018-07-18,mar-vista,theft,0,44
180412464,2018-07-18,boyle-heights,theft,0,39
180713687,2018-07-18,hollywood,theft,0,15
180914545,2018-07-18,van-nuys,theft,0,0
181416934,2018-07-18,playa-del-rey,theft,0,74
180605075,2018-01-08,hollywood,theft,0,15
180513428,2018-07-18,san-pedro,theft,0,23
180617454,2018-07-18,hollywood-hills-west,theft,0,57
180317685,2018-07-18,leimert-park,theft,0,102
181514763,2018-07-18,valley-glen,theft,0,75
182113630,2018-07-18,winnetka,theft,0,87
181315834,2018-07-18,historic-south-central,theft,0,7
180118968,2018-07-18,downtown,theft,0,3
180504527,2018-01-13,san-pedro,theft,0,23
182014384,2018-07-18,harvard-heights,theft,0,34
181514734,2018-07-18,north-hollywood,theft,0,25
182113577,2018-07-18,woodland-hills,theft,0,43
190308709,2018-07-18,west-adams,theft,0,66
180513401,2018-07-18,wilmington,theft,0,65
180800651,2018-07-18,sawtelle,theft,0,22
181704994,2018-01-18,northridge,theft,0,11
181104851,2018-01-19,east-hollywood,theft,0,50
180804912,2018-01-19,westwood,theft,0,84
181914445,2018-07-18,panorama-city,theft,0,30
180713668,2018-07-18,hancock-park,theft,0,21
181815490,2018-07-18,vermont-vista,theft,0,81
182014553,2018-07-18,east-hollywood,theft,0,50
180317112,2018-07-18,adams-normandie,theft,0,14
181205613,2018-01-21,vermont-knolls,theft,0,93
180513418,2018-07-18,san-pedro,theft,0,23
181815527,2018-07-18,green-meadows,theft,0,53
181004998,2018-01-23,reseda,theft,0,37
180215470,2018-07-18,westlake,theft,0,10
180914601,2018-07-18,valley-glen,theft,0,75
181013829,2018-07-18,tarzana,theft,0,63
180905661,2018-01-27,van-nuys,theft,0,0
181005870,2018-02-10,tarzana,theft,0,63
182000556,2018-02-12,windsor-square,theft,0,105
180616549,2018-07-18,hollywood,theft,0,15
182106344,2018-02-16,winnetka,theft,0,87
180616688,2018-07-18,hollywood,theft,0,15
180625235,2018-07-18,hollywood-hills,theft,0,12
181407007,2018-02-18,westchester,theft,0,8
182014350,2018-07-18,koreatown,theft,0,26
180810818,2018-05-18,sawtelle,theft,0,22
181013893,2018-08-01,encino,theft,0,1
181214171,2018-05-19,hyde-park,theft,0,9
181817780,2018-08-27,green-meadows,theft,0,53
180211840,2018-05-19,westlake,theft,0,10
180907743,2018-03-13,van-nuys,theft,0,0
180323674,2018-08-01,vermont-square,theft,0,32
181013252,2018-07-18,tarzana,theft,0,63
180708394,2018-04-02,fairfax,theft,0,38
181409963,2018-04-05,westchester,theft,0,8
181110798,2018-05-20,elysian-park,theft,0,110
181310154,2018-04-09,south-park,theft,0,60
180610231,2018-04-13,hollywood-hills,theft,0,12
181812637,2018-05-31,watts,theft,0,71
181414799,2018-06-22,westchester,theft,0,8
181514983,2018-07-21,studio-city,theft,0,36
181815619,2018-07-21,green-meadows,theft,0,53
181517341,2018-09-05,valley-glen,theft,0,75
181917363,2018-09-11,panorama-city,theft,0,30
180126217,2018-10-17,downtown,theft,0,3
180624543,2018-11-27,los-feliz,theft,0,28
180418305,2018-12-12,boyle-heights,theft,0,39
180414135,2018-08-27,boyle-heights,theft,0,39
182115625,2018-08-27,woodland-hills,theft,0,43
182000863,2018-09-04,koreatown,theft,0,26
182004893,2018-01-17,koreatown,theft,0,26
182012584,2018-06-05,pico-union,theft,0,19
180917475,2018-09-12,van-nuys,theft,0,0
182014362,2018-07-18,harvard-heights,theft,0,34
181914430,2018-07-18,mission-hills,theft,0,70
181611886,2018-07-18,sun-valley,theft,0,6
